"","Hut78_c1.sorted.rmdup.count","Hut78_c2.sorted.rmdup.count","Hut78_c3.sorted.rmdup.count","HuT78_Dp_1.sorted.rmdup.count","HuT78_Dp_2.sorted.rmdup.count","HuT78_Dp_3.sorted.rmdup.count","HuT78_DpVp50_1.sorted.rmdup.count","HuT78_DpVp50_2.sorted.rmdup.count","HuT78_DpVp50_3.sorted.rmdup.count"
"ENSG00000000419.12",599,450,450,1355,804,1044,566,595,591
"ENSG00000000457.13",154,216,169,179,129,127,180,222,176
"ENSG00000000460.16",254,251,284,274,184,249,261,292,313
"ENSG00000000938.12",16,7,1,15,5,18,29,25,15
"ENSG00000000971.15",0,0,0,0,0,0,377,436,399
"ENSG00000001036.13",84,72,56,44,27,31,4,0,4
"ENSG00000001084.10",1103,1037,843,1176,828,960,927,976,888
"ENSG00000001167.14",429,443,421,628,433,470,419,483,455
"ENSG00000001460.17",136,135,119,249,150,190,130,116,80
"ENSG00000001461.16",919,925,973,1843,1250,1527,417,458,516
"ENSG00000001497.16",1319,1089,1099,1320,811,923,722,722,652
"ENSG00000001561.6",504,488,461,801,525,583,659,687,690
"ENSG00000001617.11",14,15,9,53,47,46,63,53,44
"ENSG00000001626.14",5,2,2,9,1,8,245,241,315
"ENSG00000001629.9",520,445,425,725,463,549,453,475,422
"ENSG00000001630.15",35,45,39,45,40,55,42,53,56
"ENSG00000001631.15",644,637,525,554,270,334,306,340,330
"ENSG00000002016.17",171,166,214,177,152,171,141,170,157
"ENSG00000002330.13",91,125,109,194,204,184,147,167,174
"ENSG00000002549.12",957,757,888,1134,689,953,1066,1140,1102
"ENSG00000002726.20",11,8,3,5,3,4,0,0,0
"ENSG00000002746.14",39,30,18,32,29,30,24,24,20
"ENSG00000002822.15",241,228,208,234,149,204,245,267,223
"ENSG00000002834.17",4626,4226,3987,4725,3244,3411,1873,1970,1971
"ENSG00000002919.14",553,409,427,485,425,478,199,213,190
"ENSG00000003056.7",1482,1309,1294,2523,1677,1996,2426,2613,2534
"ENSG00000003137.8",0,1,1,2,4,2,2,1,1
"ENSG00000003147.17",24,10,24,33,26,20,59,55,55
"ENSG00000003249.13",1,0,0,4,9,10,0,0,0
"ENSG00000003393.14",145,191,152,443,306,358,158,145,152
"ENSG00000003400.14",132,120,133,217,151,203,169,150,177
"ENSG00000003402.19",355,290,310,104,74,87,437,450,390
"ENSG00000003436.15",4,1,1,6,2,5,97,115,117
"ENSG00000003509.15",210,156,190,381,206,279,126,145,140
"ENSG00000003756.16",590,522,544,272,218,238,398,457,330
"ENSG00000004059.10",759,666,608,777,601,647,727,787,668
"ENSG00000004139.13",200,211,191,231,196,169,503,522,474
"ENSG00000004142.11",1816,1679,1707,1335,999,1261,1516,1755,1630
"ENSG00000004399.12",54,86,78,109,71,83,272,247,230
"ENSG00000004455.16",4121,3640,3403,3900,2842,3070,4225,4672,4191
"ENSG00000004468.12",4,0,0,13,6,3,1221,1253,991
"ENSG00000004478.7",3105,2763,2869,2493,1782,2280,3260,3495,3426
"ENSG00000004487.15",1709,1590,1613,2080,1447,1779,1759,1809,1866
"ENSG00000004534.14",703,651,603,801,551,604,640,658,562
"ENSG00000004660.14",44,56,57,86,82,103,128,101,113
"ENSG00000004700.15",439,377,339,625,408,503,868,887,888
"ENSG00000004766.15",354,303,306,240,185,215,414,450,418
"ENSG00000004776.12",2,0,0,2,0,0,0,1,0
"ENSG00000004777.18",23,20,11,62,64,50,43,41,21
"ENSG00000004779.9",696,589,584,678,451,550,809,873,847
"ENSG00000004838.13",6,13,7,27,30,30,2,6,3
"ENSG00000004846.16",0,1,0,1,0,5,0,0,0
"ENSG00000004848.7",2,4,3,0,1,0,0,0,1
"ENSG00000004864.13",300,313,311,205,144,192,286,315,409
"ENSG00000004866.20",481,440,453,372,246,305,741,841,785
"ENSG00000004897.11",1930,1890,1909,2001,1443,1729,1516,1569,1621
"ENSG00000004939.13",0,1,0,1,1,0,2,0,2
"ENSG00000004961.14",401,375,396,303,196,250,517,600,639
"ENSG00000004975.11",579,456,575,990,726,817,772,767,728
"ENSG00000005001.9",0,4,0,3,1,3,6,4,2
"ENSG00000005007.12",1141,1253,1225,1030,884,864,926,899,954
"ENSG00000005020.12",628,583,534,1130,674,847,1083,1173,1055
"ENSG00000005022.5",4708,4377,4657,3951,3484,4071,4904,5380,4987
"ENSG00000005059.15",285,240,220,308,194,254,223,261,214
"ENSG00000005073.5",98,74,66,8,7,7,26,25,16
"ENSG00000005075.15",197,210,214,299,287,284,321,385,316
"ENSG00000005100.12",1106,1166,1179,714,456,551,1077,1017,961
"ENSG00000005102.12",0,0,0,2,2,1,0,0,0
"ENSG00000005108.15",2,2,0,3,1,0,89,95,120
"ENSG00000005156.11",1167,1159,1152,403,298,368,562,608,483
"ENSG00000005175.9",944,742,761,1783,1093,1402,1164,1285,1256
"ENSG00000005187.11",112,88,51,136,71,67,190,202,155
"ENSG00000005189.19",64,60,44,70,47,67,167,140,155
"ENSG00000005194.14",697,613,608,568,476,607,424,486,440
"ENSG00000005206.16",134,175,144,137,145,151,150,131,96
"ENSG00000005238.19",9,18,9,138,88,96,20,20,14
"ENSG00000005243.9",7,2,5,10,2,2,8,12,3
"ENSG00000005249.12",96,67,51,328,151,161,309,317,331
"ENSG00000005302.17",300,304,302,313,237,250,454,475,408
"ENSG00000005339.14",404,564,530,281,209,237,335,310,264
"ENSG00000005379.15",86,94,77,74,52,45,62,71,44
"ENSG00000005421.8",0,0,0,0,0,0,4,2,1
"ENSG00000005436.13",436,338,346,151,110,137,211,225,210
"ENSG00000005448.16",469,438,408,440,401,361,499,572,413
"ENSG00000005469.11",95,82,93,119,73,137,77,75,69
"ENSG00000005471.15",0,0,3,1,0,4,0,2,0
"ENSG00000005483.20",577,804,686,552,399,345,619,597,612
"ENSG00000005486.16",442,492,324,643,489,437,319,377,302
"ENSG00000005700.14",889,933,818,619,374,435,717,687,770
"ENSG00000005801.16",316,258,281,200,159,180,345,377,360
"ENSG00000005810.17",1019,1381,1464,1437,1068,1121,1748,1601,1955
"ENSG00000005812.10",617,624,551,385,267,339,493,452,532
"ENSG00000005844.17",2364,2035,2036,475,292,340,1487,1442,1227
"ENSG00000005882.11",307,301,279,457,346,400,91,79,88
"ENSG00000005884.17",196,272,197,260,216,217,177,173,190
"ENSG00000005889.15",413,456,381,90,62,73,329,300,384
"ENSG00000005893.15",1770,1617,1679,4530,2978,3718,2930,3234,3407
"ENSG00000005961.17",4,0,1,3,4,4,1,5,2
"ENSG00000005981.12",0,0,1,1,0,3,219,205,221
"ENSG00000006007.11",810,817,759,1601,1124,1222,1454,1478,1518
"ENSG00000006015.17",44,49,49,25,26,23,50,84,51
"ENSG00000006016.10",9,11,10,8,8,14,0,0,0
"ENSG00000006025.11",89,89,91,222,209,189,94,89,59
"ENSG00000006042.11",0,0,0,0,0,1,15,21,8
"ENSG00000006047.12",11,5,14,46,34,44,158,167,174
"ENSG00000006062.14",101,88,116,327,306,282,70,84,55
"ENSG00000006118.14",5,3,4,60,66,70,107,110,88
"ENSG00000006125.17",3271,3832,3313,3886,2819,2997,3333,3449,3304
"ENSG00000006194.9",324,309,263,343,235,267,215,245,211
"ENSG00000006210.6",18,11,11,11,7,8,1,1,2
"ENSG00000006282.20",90,79,69,65,36,53,134,156,162
"ENSG00000006283.17",10,6,3,30,22,35,115,100,110
"ENSG00000006327.13",35,30,17,54,63,70,15,17,19
"ENSG00000006377.10",8,7,3,1,0,0,7,3,6
"ENSG00000006432.15",53,42,47,347,226,267,80,91,127
"ENSG00000006451.7",905,755,709,1376,1001,1062,864,907,839
"ENSG00000006453.13",294,220,261,526,402,453,262,312,233
"ENSG00000006459.10",96,157,130,216,149,158,215,175,201
"ENSG00000006468.13",18,29,30,46,48,49,288,317,260
"ENSG00000006530.15",742,648,625,527,319,408,1061,1163,1125
"ENSG00000006534.15",2,3,2,6,2,4,0,0,0
"ENSG00000006555.10",12,13,14,6,4,5,3,1,4
"ENSG00000006576.16",393,409,380,1148,740,1008,412,455,470
"ENSG00000006607.13",184,210,215,986,660,766,174,192,217
"ENSG00000006625.17",545,387,443,556,336,457,318,358,330
"ENSG00000006634.7",931,824,769,761,510,600,895,899,869
"ENSG00000006638.11",3,0,1,9,6,5,60,73,71
"ENSG00000006652.13",353,346,288,291,237,217,851,969,745
"ENSG00000006659.12",0,0,1,2,0,1,0,3,0
"ENSG00000006695.10",511,524,563,317,230,284,611,617,535
"ENSG00000006704.10",34,42,35,37,21,43,187,204,200
"ENSG00000006712.14",603,502,490,393,246,317,428,415,397
"ENSG00000006715.15",599,542,501,522,244,380,346,375,395
"ENSG00000006740.16",48,36,35,14,13,30,126,120,114
"ENSG00000006744.18",2045,2010,1968,1164,922,1093,1218,1366,1327
"ENSG00000006747.14",0,0,0,0,0,0,2,3,1
"ENSG00000006757.11",187,158,156,108,73,97,242,289,275
"ENSG00000006831.9",3627,3230,2955,7778,5258,6044,1884,1930,1982
"ENSG00000006837.11",10,3,8,17,16,17,11,12,8
"ENSG00000007001.12",0,0,0,0,0,0,5,2,5
"ENSG00000007038.10",1,2,2,2,0,1,4,1,0
"ENSG00000007047.14",88,99,67,665,510,513,262,236,230
"ENSG00000007062.11",0,0,0,1,0,0,114,109,140
"ENSG00000007080.10",266,303,289,311,241,278,317,294,305
"ENSG00000007129.17",7,17,11,17,14,9,7,6,6
"ENSG00000007168.12",2588,2441,2399,2331,1764,2019,2201,2332,2381
"ENSG00000007171.16",0,0,1,1,0,0,1,0,2
"ENSG00000007202.14",2944,2964,3141,2854,1944,2205,3042,3091,3504
"ENSG00000007237.18",2325,2452,2633,2008,1538,1678,1358,1269,1437
"ENSG00000007255.10",213,158,128,220,161,144,125,141,100
"ENSG00000007264.14",425,454,497,210,164,226,300,305,263
