"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000419.12",712.875723284355,0.932419983965771,0.106763743984809,8.73348900258162,2.46934738498007e-18,1.7422464380284e-17
"ENSG00000000971.15",130.798242505021,-11.0135100015025,1.18704921405756,-9.27805677395316,1.72597540021127e-20,1.34721376108786e-19
"ENSG00000001036.13",35.3854935691458,3.73675183638729,0.583836313790409,6.40034158226196,1.55029727623729e-10,6.85386968519003e-10
"ENSG00000001167.14",461.131532366294,0.245473663294303,0.100014221566443,2.45438758058248,0.0141124783203705,0.0271335419974727
"ENSG00000001460.17",144.071620150637,0.918418948620894,0.177676890278881,5.16903997576358,2.35299567768715e-07,8.07520835472924e-07
"ENSG00000001461.16",981.940083239542,1.80170557637748,0.0957680223227783,18.813227345397,5.88439270089979e-79,3.37799804017714e-77
"ENSG00000001497.16",952.22690946715,0.605865835114948,0.0961143131888039,6.3035963636842,2.90817257693598e-10,1.26214023591009e-09
"ENSG00000001626.14",89.5752500724456,-5.4106394910604,0.391415136664779,-13.8232760673593,1.84479216194389e-43,3.66328539998586e-42
"ENSG00000001629.9",493.253573234942,0.431139643260496,0.101409098539899,4.25148876647263,2.12354163435994e-05,6.02762552012506e-05
"ENSG00000002726.20",3.71707897756871,4.50964156878911,1.4519833634375,3.10584933846126,0.00189733359347965,0.00420962555265355
"ENSG00000002834.17",3315.75645795908,1.03744874956454,0.0698465238007171,14.8532624547578,6.62637928850055e-50,1.60114960767034e-48
"ENSG00000002919.14",375.408402466678,1.29138805406698,0.126801575419258,10.1843218414055,2.3297861029637e-24,2.17952928071824e-23
"ENSG00000003056.7",1964.34325429132,-0.220568529571824,0.0692288132662323,-3.18607988733804,0.00144214769227822,0.00325859325888819
"ENSG00000003147.17",33.5814709234022,-1.02297107036531,0.326664308987538,-3.1315666946778,0.00173876287928401,0.00387929854965921
"ENSG00000003249.13",2.85160765534032,5.5152093419375,1.51968174386159,3.62918707434299,0.000284315151386864,0.000704429273852047
"ENSG00000003393.14",228.096723455434,1.35346200152225,0.140618794966013,9.62504337950966,6.26804714557802e-22,5.23784230815307e-21
"ENSG00000003402.19",272.034477780043,-2.19362845238548,0.140498025297995,-15.6132333371434,5.91612315976237e-55,1.66037092057094e-53
"ENSG00000003436.15",37.5960735436746,-4.59163976672936,0.475210134214647,-9.662335535663,4.358129191007e-22,3.67261563142512e-21
"ENSG00000003509.15",202.045246272534,1.13419942761518,0.156870752869866,7.23015225506098,4.82452836870351e-13,2.51363766272605e-12
"ENSG00000003756.16",391.554260723603,-0.621737251392264,0.121237458918045,-5.12826033258047,2.92431874728761e-07,9.95655901305113e-07
"ENSG00000004139.13",295.745276426674,-1.25075587478237,0.122627120484591,-10.1996676578533,1.98952117268246e-24,1.86674042076754e-23
"ENSG00000004142.11",1506.39539663521,-0.368558537860905,0.0779714469314641,-4.72683979027429,2.28041044837898e-06,7.1122975854612e-06
"ENSG00000004399.12",134.611128218414,-1.44078956467531,0.182517027225519,-7.89400083146799,2.92650215511478e-15,1.74448259365936e-14
"ENSG00000004455.16",3743.53891984662,-0.341152374786372,0.0648495997422763,-5.26067047664398,1.43531059084319e-07,5.01855367902055e-07
"ENSG00000004468.12",376.76550268163,-7.22628965650919,0.329308264770837,-21.9438454165063,9.91535956464247e-107,1.13154561200354e-104
"ENSG00000004478.7",2798.09658331665,-0.56026890277552,0.0699876690903357,-8.00525164014765,1.19222620546034e-15,7.27861206453132e-15
"ENSG00000004700.15",584.953043211041,-0.713920742513295,0.0950002693302088,-7.51493387910089,5.6939704707577e-14,3.15307151704279e-13
"ENSG00000004766.15",316.352728211193,-0.924237815294908,0.114154080004931,-8.09640632428544,5.66065297611633e-16,3.51706821841744e-15
"ENSG00000004777.18",37.4972074033818,0.838982348922694,0.323343087264438,2.59471249569827,0.00946700727417884,0.0187754382121068
"ENSG00000004779.9",666.778707493292,-0.520387927260339,0.0896614985291947,-5.80391735356615,6.47832179969344e-09,2.52521251385581e-08
"ENSG00000004838.13",14.129052233159,3.0851090864151,0.603794144377984,5.10953793629998,3.22947643743168e-07,1.094048670077e-06
"ENSG00000004864.13",271.703375735064,-0.827252970572276,0.147637682842488,-5.60326438782475,2.10351988936557e-08,7.88154287661022e-08
"ENSG00000004866.20",509.918193639684,-1.28679870453921,0.0984777813349825,-13.0668937408534,5.09019461041739e-39,8.57906109428354e-38
"ENSG00000004897.11",1722.29568430365,0.210605700511678,0.0708383848231293,2.97304492525518,0.00294861289915078,0.00636274322377405
"ENSG00000004961.14",402.348246394691,-1.15903739183409,0.115729331621378,-10.0150702989111,1.30868838138606e-23,1.17775737277803e-22
"ENSG00000004975.11",708.734071465006,0.234625216147558,0.0963219891519578,2.43584272099503,0.014857142874892,0.0284612918011886
"ENSG00000005020.12",846.026716105336,-0.257189787981361,0.0910435935745475,-2.82490813338525,0.00472941736532163,0.00987262617836396
"ENSG00000005022.5",4471.12755331376,-0.319279920975764,0.0798534913121344,-3.99832137242128,6.37932974737986e-05,0.000171418471963637
"ENSG00000005073.5",35.5858928869283,-1.52740330579745,0.431403194335027,-3.54054704706538,0.000399298437755775,0.000972901556893299
"ENSG00000005100.12",901.814511501047,-0.760889058597875,0.0941897129760816,-8.07826072037288,6.56970300218358e-16,4.06853395467034e-15
"ENSG00000005108.15",33.7237748531617,-6.18047370389847,0.774987190727104,-7.97493658972591,1.52459075579947e-15,9.24810991926516e-15
"ENSG00000005156.11",679.921776617703,-0.551216777157617,0.10109348657675,-5.45254492473294,4.96540224131065e-08,1.80684940567401e-07
"ENSG00000005175.9",1148.90232847261,0.271878546192983,0.0922714871842898,2.94650660230469,0.0032138555803261,0.00688724888164001
"ENSG00000005187.11",116.620636964964,-0.944381303405296,0.227209965659008,-4.15642553646878,3.23265467100368e-05,9.01374890896287e-05
"ENSG00000005189.19",89.1241345465618,-1.25611737188555,0.204529052019028,-6.14151075109218,8.17402920890876e-10,3.43421621941822e-09
"ENSG00000005194.14",544.070482186617,0.375553823720956,0.106356156532062,3.53109623332189,0.000413841153673968,0.00100574814819752
"ENSG00000005238.19",46.0856608441562,2.64200814609227,0.307098042347778,8.60314226002227,7.7562739061879e-18,5.31025850664343e-17
"ENSG00000005249.12",197.357873550036,-0.539145652284029,0.188362799743969,-2.86227244985136,0.00420615168470956,0.00884856607608416
"ENSG00000005302.17",334.380277621444,-0.664466380102483,0.111753102104663,-5.94584282304912,2.75037966675282e-09,1.10575535668433e-08
"ENSG00000005436.13",236.914398426798,-0.622678613761655,0.141455816372791,-4.40193008480228,1.07292133824603e-05,3.14245853922894e-05
"ENSG00000005469.11",90.6624770260038,0.646620753933045,0.214639982899371,3.01258295494832,0.00259034627996557,0.00563910824266464
"ENSG00000005483.20",570.850609337014,-0.426744994695733,0.133620352006432,-3.19371254668742,0.00140455898811454,0.00317896839556057
"ENSG00000005486.16",422.916319779063,0.728674917473322,0.136206222915658,5.34979167526385,8.80555357499524e-08,3.1361610626943e-07
"ENSG00000005700.14",683.841477713904,-0.543993666764796,0.103299512721082,-5.26617844010191,1.39292898323665e-07,4.87756869841684e-07
"ENSG00000005801.16",271.594972703947,-0.926343787121664,0.123792381100661,-7.48304361613673,7.26207661648149e-14,3.9806938490343e-13
"ENSG00000005810.17",1410.53521582936,-0.47639881733127,0.126279559806012,-3.77257267972034,0.000161572878809227,0.000412956909897733
