"","ensembl_gene_id","ensembl_gene_id_version.x","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_gene_id_version.y","external_gene_name","gene_biotype"
"1","ENSG00000000003","ENSG00000000003.14",371.523026648545,0.513354409952091,0.106882610412923,4.80297410372775,1.56326109853778e-06,6.34597348206566e-06,"ENSG00000000003.15","TSPAN6","protein_coding"
"2","ENSG00000000419","ENSG00000000419.12",1955.81785645102,-0.35247375297357,0.0623833572286117,-5.65012478699863,1.60331404704207e-08,7.86362135167448e-08,"ENSG00000000419.14","DPM1","protein_coding"
"3","ENSG00000000460","ENSG00000000460.16",543.892193396251,-0.648113729672407,0.0921057101129271,-7.03662920439766,1.96946029625472e-12,1.32180057628045e-11,"ENSG00000000460.17","C1orf112","protein_coding"
"4","ENSG00000001036","ENSG00000001036.13",1595.35059117913,-0.586785138820754,0.0683232092620202,-8.58837202114477,8.8210253117551e-18,8.41721669482606e-17,"ENSG00000001036.14","FUCA2","protein_coding"
"5","ENSG00000001460","ENSG00000001460.17",119.848996386848,-0.405717751070633,0.163786958705078,-2.47710656744769,0.0132452347644991,0.0306067486326842,"ENSG00000001460.18","STPG1","protein_coding"
"6","ENSG00000001461","ENSG00000001461.16",773.441125728759,-0.707224707568308,0.0782596905431832,-9.03689629564873,1.61183168069181e-19,1.6981825307885e-18,"ENSG00000001461.17","NIPAL3","protein_coding"
"7","ENSG00000001561","ENSG00000001561.6",463.8514273774,-0.991401556849112,0.0933385230207293,-10.6215689381429,2.36551427728502e-26,3.4897997906507e-25,"ENSG00000001561.7","ENPP4","protein_coding"
"8","ENSG00000001617","ENSG00000001617.11",1548.4553655147,-0.499792973594756,0.0649011389862635,-7.70083516871003,1.35179771867739e-14,1.06113260977419e-13,"ENSG00000001617.12","SEMA3F","protein_coding"
"9","ENSG00000001629","ENSG00000001629.9",2999.27579688367,0.154522850672107,0.0556360614239649,2.77738658555632,0.00547979603106868,0.0137068785667023,"ENSG00000001629.10","ANKIB1","protein_coding"
"10","ENSG00000001630","ENSG00000001630.15",546.490178357257,-1.3081717991106,0.0944071613013586,-13.8567009226637,1.15879016313848e-43,3.17306108386088e-42,"ENSG00000001630.17","CYP51A1","protein_coding"
