"","MCF7_C-1.sorted.rmdup.count","MCF7_C-2.sorted.rmdup.count","MCF7_C-3.sorted.rmdup.count","MCF7_M300_1.sorted.rmdup.count","MCF7_M300_2.sorted.rmdup.count","MCF7_M300_3.sorted.rmdup.count"
"ENSG00000000003.14",395.440028173517,464.06471471419,454.25333724615,297.57668870123,299.651365198134,318.15202585805
"ENSG00000000419.12",1662.42762200764,1810.18151129648,1685.48987664326,2230.21373914712,2126.37218765599,2220.22220195564
"ENSG00000000457.13",538.723576185033,510.142062274464,540.461999789215,579.039116281454,573.947614879502,587.269868519339
"ENSG00000000460.16",396.568245086993,464.06471471419,414.464723764736,692.913228203224,640.792919423701,654.549329184661
"ENSG00000001036.13",1206.62798896313,1373.5437891777,1251.13084613782,1909.00280080175,1862.44848523148,1969.34963676291
"ENSG00000001084.10",960.112593368509,974.206776988653,960.452919870814,1028.08985952013,1041.8647466889,1046.82279475874
"ENSG00000001167.14",682.571232653288,543.054453388945,586.882048850866,490.947822153292,596.997719894743,591.831187886479
"ENSG00000001460.17",98.7189799291946,104.222571862525,107.208208547145,140.731213790112,130.233093336112,137.979910856
"ENSG00000001461.16",578.211168156711,604.490916802644,581.355852534003,962.558530961378,916.241674355832,997.788611561984
"ENSG00000001497.16",1374.73230907113,1493.12547689365,1306.39280930645,1326.7408322961,1258.53573383216,1342.16822378109
"ENSG00000001561.6",311.387868119517,321.444353218103,298.41460111061,623.084763345535,600.45523564703,628.321742823603
"ENSG00000001617.11",1339.75758475335,1219.95263064345,1284.28802403899,1842.39718816826,1811.73825419795,1792.59851128622
"ENSG00000001629.9",3147.16108014272,3245.16176388788,3086.93326259975,2763.05864021503,2842.07794837922,2911.26208607742
"ENSG00000001630.15",305.182675095396,347.774266109688,291.783165530374,732.661738968371,804.448665031913,797.090559407802
"ENSG00000001631.15",1361.19370610941,1336.24307924795,1476.59965586583,1281.62090115728,1329.99105937941,1205.32864276688
"ENSG00000002016.17",298.413373614537,261.10496950822,275.204576579785,197.668269750997,170.570777112784,197.277062628826
"ENSG00000002079.14",3.38465074042953,0,2.21047852674526,1.07428407473368,3.45751575228616,0
"ENSG00000002330.13",550.005745319798,718.587205999514,549.303913896196,872.318668683749,870.14146432535,938.491459789157
"ENSG00000002549.12",1543.40073763586,1768.49248255147,1542.91401166819,1714.55738327496,1703.40276062631,1596.46177849917
"ENSG00000002587.9",19.1796875291007,15.3591158534247,14.3681104238442,5.37142037366841,9.22004200609642,7.98230889249587
"ENSG00000002726.20",5.64108456738255,7.67955792671236,6.63143558023577,1.07428407473368,3.45751575228616,2.28065968357025
"ENSG00000002822.15",992.830883859328,1040.03155921762,1048.87206094062,1053.87267731374,1160.57278751739,1132.34753289263
"ENSG00000002834.17",2884.2865393027,2899.58165718582,2780.78198664553,5921.45381993205,6037.9750087424,6108.74696244291
"ENSG00000002919.14",535.903033901342,586.937641541587,522.778171575253,623.084763345535,584.320162136361,637.444381557884
"ENSG00000003056.7",1886.37867933272,1995.5879812414,1893.27485815731,1432.02067162,1514.39189950134,1448.21889906711
"ENSG00000003096.14",32.7182904908188,34.0094708182976,25.4205030575705,76.2741693060914,61.0827782903888,74.1214397160331
"ENSG00000003137.8",161.335018627141,125.06708623503,141.470625711696,230.971076067741,252.39864991689,236.048277249521
"ENSG00000003147.17",1723.35133533537,1679.62902654237,1779.43521402993,2093.77966165594,2057.22187261026,2030.92744821931
"ENSG00000003249.13",1638.73506682463,1624.77504135157,1654.54317726883,2485.89334893374,2567.78169869785,2534.95323828833
"ENSG00000003393.14",573.698300502805,583.646402430139,547.093435369451,762.741693060914,799.838644028865,744.635386685686
"ENSG00000003400.14",9.02573530781208,8.77663763052841,7.7366748436084,6.44570444840209,2.30501050152411,0
"ENSG00000003402.19",856.316637328671,856.819248680336,781.404159204448,560.776287010982,573.947614879502,553.059973265785
"ENSG00000003436.15",581.031710440402,605.58799650646,573.619177690394,15.0399770462715,14.9825682599067,15.9646177849917
"ENSG00000003509.15",447.338006193436,425.666925080628,435.464269768816,479.130697331222,461.002100304821,450.430287505124
"ENSG00000003756.16",1383.1939359222,1355.99051391664,1443.44247796465,1160.22680071238,1085.65994621785,1077.61170048694
"ENSG00000003987.13",73.3340993759731,69.1160213404112,82.8929447529471,244.936769039279,216.670987143266,222.364319148099
"ENSG00000003989.17",23818.3513688593,28711.6729285699,26366.5878670174,22214.0460973431,23261.0134761305,23579.7404684328
"ENSG00000004059.10",2031.35455271446,2286.31410275265,2189.47898074118,2137.82530872003,2419.10852134955,2224.78352132278
"ENSG00000004139.13",340.721507869906,307.182317068494,328.256061221671,383.519414679924,369.954185494619,382.010496998017
"ENSG00000004142.11",1888.07100470294,2069.09232139707,1977.27304217363,1960.56843638897,2087.18700913008,1881.54423894545
"ENSG00000004399.12",3236.85432476411,3097.05600387271,2964.25170436539,2406.39632740345,2778.69015958731,2633.02160468185
"ENSG00000004455.16",1867.19899180362,1854.06469944913,2004.90402375795,2356.9792599657,2268.13033349972,2278.37902388668
"ENSG00000004478.7",6299.39913639609,7011.43638708838,6559.59502811655,6981.77220169419,7134.00750221711,7106.53557400489
"ENSG00000004487.15",2859.46576720621,3042.20201868191,2899.0425878264,3652.56585409452,3795.19979075944,3665.02011149739
"ENSG00000004534.14",1379.24517672503,1092.69138500079,1394.81195037626,1165.59822108604,1130.60765099757,1127.78621352549
"ENSG00000004660.14",179.386489242765,148.105760015167,177.943521402993,276.091007206556,269.68622867832,249.732235350942
"ENSG00000004700.15",1027.24149972036,1094.88554440842,980.347226611522,622.010479270801,637.335403671415,635.163721874314
"ENSG00000004766.15",905.394073064899,936.906067058908,909.611913755673,1458.87777348834,1454.46162646171,1429.97362159855
"ENSG00000004776.12",1.69232537021476,1.09707970381605,1.10523926337263,2.14856814946736,1.15250525076205,0
"ENSG00000004777.18",211.540671276846,171.144433795304,198.943067407073,150.399770462715,131.385598586874,145.962219748496
"ENSG00000004779.9",1278.26976296889,1452.53352785245,1371.60192584543,1574.90045355958,1495.95181548914,1522.34033878314
"ENSG00000004799.7",31.5900735773423,24.1357534839531,17.6838282139621,79.4970215302924,93.3529253117263,79.8230889249587
"ENSG00000004838.13",25.9489890099597,37.3007099297457,33.1571779011789,25.7828177936083,20.745094513717,20.5259371521322
"ENSG00000004848.7",20.8720128993154,18.6503549648729,20.9995460040799,5.37142037366841,5.76252625381026,6.84197905071075
"ENSG00000004864.13",1171.08915618862,1227.63218857016,1192.55316517907,1599.60898727845,1691.87770811869,1749.26597729838
"ENSG00000004866.20",267.387408493933,241.357534839531,264.152183946058,391.03940320306,366.496669742333,350.081261428033
"ENSG00000004897.11",2944.64614417369,3019.16334490177,2907.88450193339,2347.31070329309,2284.26540701039,2288.64199246274
"ENSG00000004939.13",0.564108456738255,1.09707970381605,0,2.14856814946736,1.15250525076205,1.14032984178512
"ENSG00000004948.13",1250.62844858871,1267.12705790754,1248.92036761107,1719.92880364862,1694.18271862022,1705.93344331055
"ENSG00000004961.14",429.286535577812,409.210729523387,444.306183875797,560.776287010982,652.317971931322,566.743931367207
"ENSG00000004975.11",1268.67991920433,1239.70006531214,1259.9727602448,1833.80291557039,1803.67071744261,1785.7565322355
"ENSG00000005001.9",311.951976576255,283.046563584541,270.783619526294,397.485107651462,390.699280008336,385.431486523372
"ENSG00000005007.12",3126.28906724341,3160.68662669404,3238.3510416818,3096.08670338247,3115.22169280983,3066.3469445602
"ENSG00000005020.12",917.240350656402,901.799516536794,883.08617143473,831.495873843869,835.566306802488,878.053978174546
"ENSG00000005022.5",8679.93682383153,10798.5555246614,10064.3087322712,3782.55422713729,3906.99280008336,4026.50467134327
"ENSG00000005059.15",340.721507869906,392.754533966146,356.992282069359,622.010479270801,548.592499362737,589.550528202909
"ENSG00000005073.5",2.82054228369127,0,1.10523926337263,16.1142611210052,24.2026102660031,27.367916202843
"ENSG00000005075.15",1144.01195026518,1297.84528961439,1273.23563140527,1153.78109626397,1237.79063931844,1312.51964789468
"ENSG00000005100.12",602.467831796456,496.977105828671,533.83056420898,547.884878114177,716.858265973997,694.460873647141
"ENSG00000005108.15",2.25643382695302,1.09707970381605,1.10523926337263,0,0,0
"ENSG00000005156.11",892.983687016657,953.362262616149,881.980932171358,530.696332918439,546.287488861213,612.357125038612
"ENSG00000005175.9",900.317096954254,946.779784393252,859.876146903905,939.998565391971,897.801590343639,936.210800105587
"ENSG00000005187.11",22.5643382695302,35.1065505221136,32.0519386378062,24.7085337188747,25.3551155167652,28.5082460446281
"ENSG00000005189.19",416.312041072832,407.016570115755,454.25333724615,366.330869484185,413.749385023577,374.028188105521
"ENSG00000005194.14",543.236443838939,586.937641541587,565.882502846786,814.30732864813,830.95628579944,772.003302888529
"ENSG00000005206.16",538.723576185033,455.288077083661,573.619177690394,495.244958452227,404.529343017481,403.676763991934
"ENSG00000005238.19",99.8471968426711,109.707970381605,113.839644127381,382.445130605191,301.956375699658,377.449177630876
"ENSG00000005243.9",24.8207720964832,40.5919490411939,40.8938527447873,58.0113400356188,40.3376837766719,71.8407800324628
"ENSG00000005249.12",298.977482071275,312.667715587575,314.993190061199,305.096677224365,320.396459711851,307.889057281984
"ENSG00000005302.17",287.69531293651,298.405679437966,313.887950797827,282.536711654958,306.566396702706,269.117842661289
"ENSG00000005339.14",2132.3299664706,1792.62823603543,1809.27667414099,1183.86105035652,1385.31131141599,1313.65997773646
"ENSG00000005379.15",0.564108456738255,0,2.21047852674526,1.07428407473368,1.15250525076205,2.28065968357025
"ENSG00000005436.13",383.593750582013,387.269135447066,376.886588810066,461.942152135483,452.934563549487,437.886659245488
"ENSG00000005448.16",733.340993759731,805.256502600982,827.824208266099,1169.89535738498,1232.02811306463,1258.92414533078
"ENSG00000005469.11",338.465074042953,346.677186405872,310.572233007709,818.604464947065,747.975907744572,760.600004470678
"ENSG00000005471.15",38.3593750582013,35.1065505221136,55.2619631686314,22.5599655694073,28.8126312690513,31.9292355699835
"ENSG00000005483.20",1850.27573810148,1524.94078830431,1612.54408526067,1873.55142633554,2087.18700913008,1892.94753736331
"ENSG00000005486.16",1266.42348537738,1287.97157228004,1241.18369276746,1118.32972179776,1182.47038728187,1198.48666371617
"ENSG00000005513.9",11.2821691347651,5.48539851908026,11.0523926337263,12.8914088968042,5.76252625381026,15.9646177849917
"ENSG00000005700.14",2193.81778825507,2323.6148126824,2353.05439172033,3085.34386263513,3126.74674531745,3222.57213288476
"ENSG00000005801.16",663.955653580926,639.597467324758,675.301189920676,449.050743238679,470.222142310918,453.851277030479
"ENSG00000005810.17",1232.57697797309,1246.28254353503,1187.0269688622,1324.59226414663,1622.72739307297,1656.89926011379
"ENSG00000005812.10",855.188420415194,898.508277425346,851.034232796924,751.998852313577,743.365886741524,819.897156243504
"ENSG00000005844.17",3.38465074042953,8.77663763052841,9.94715337035366,0,0,1.14032984178512
"ENSG00000005882.11",647.596508335516,687.868974292664,650.985926126478,507.062083274297,484.052205320062,519.990407854017
"ENSG00000005884.17",2739.8747743777,2736.11678131723,2746.51956948098,2634.14455124699,2633.47449799129,2609.07467800436
"ENSG00000005889.15",1371.3476583307,1325.27228220979,1294.23517740935,808.935908274462,851.701380313157,848.405402288132
"ENSG00000005893.15",4055.37569549131,4323.59111273906,4078.332881845,1697.36883807922,1619.26987732068,1624.9700245438
"ENSG00000005961.17",81.7957262270469,68.0189416365952,90.6296195965555,199.816837900465,183.248334871166,198.417392470612
"ENSG00000006007.11",1638.73506682463,1880.39461234071,1742.96231833864,2090.55680943174,2158.64233467732,2105.04888793534
"ENSG00000006015.17",600.775506426241,566.093127169082,602.355398538083,532.844901067906,501.339784081493,496.043481176529
"ENSG00000006016.10",249.335937878309,281.949483880725,281.83601216002,253.531041637149,260.466186672224,263.416193452364
"ENSG00000006025.11",969.70243713306,841.460132826911,993.610097771993,998.00990542759,827.498770047154,881.474967699901
"ENSG00000006042.11",1.12821691347651,0,0,1.07428407473368,1.15250525076205,7.98230889249587
"ENSG00000006047.12",804.982767765489,747.111278298731,817.877054895745,579.039116281454,530.152415350544,522.271067537587
"ENSG00000006062.14",192.360983747745,181.018151129648,180.153999929738,221.302519395138,191.315871626501,201.838381995967
"ENSG00000006071.12",106.61649832353,97.6400936396286,100.576772966909,149.325486387982,116.403030326967,140.26057053957
"ENSG00000006118.14",2456.12822063836,2624.21465152799,2584.04939776521,5753.8655042736,6071.39766101449,6231.9025853557
"ENSG00000006125.17",2348.38350540135,2110.78135014208,2008.21974154807,2172.2023991115,2553.95163568871,2493.90136398407
"ENSG00000006194.9",1287.85960673344,1366.9613109548,1410.28530006347,843.31299866594,821.736243793344,903.141234693818
"ENSG00000006282.20",3575.31939880706,3909.99206440041,3816.39117642569,2777.02433318657,2662.28712926034,2724.24799202466
"ENSG00000006283.17",5.64108456738255,3.29123911144815,4.42095705349051,7.51998852313577,6.91503150457232,14.8242879432066
"ENSG00000006327.13",1423.24563635062,1592.95972994091,1462.23154544199,1944.45417526796,1943.12385278482,2042.33074663716
"ENSG00000006432.15",1387.70680357611,1246.28254353503,1215.76318970989,1769.34587108637,2012.27416783054,1931.718751984
"ENSG00000006451.7",845.598576650644,852.430929865072,785.825116257939,834.71872606807,799.838644028865,808.493857825653
"ENSG00000006453.13",804.418659308751,862.304647199416,851.034232796924,1236.50097001847,1250.46819707683,1229.27556944436
"ENSG00000006459.10",436.619945515409,456.385156787477,456.463815772896,414.673652847201,422.969427029673,394.554125257653
"ENSG00000006530.15",608.108916363839,688.96605399648,694.090257398011,784.227374555587,784.856075768958,776.56462225567
"ENSG00000006534.15",239.746094113758,281.949483880725,279.625533633275,661.758990035948,664.995529689705,635.163721874314
"ENSG00000006555.10",33.8465074042953,29.6211520030334,29.841460111061,13.9656929715379,10.3725472568585,7.98230889249587
