"","MCF7_C-1.sorted.rmdup.count","MCF7_C-2.sorted.rmdup.count","MCF7_C-3.sorted.rmdup.count","MCF7_M300_1.sorted.rmdup.count","MCF7_M300_2.sorted.rmdup.count","MCF7_M300_3.sorted.rmdup.count"
"ENSG00000000003.14",701,423,411,277,260,279
"ENSG00000000419.12",2947,1650,1525,2076,1845,1947
"ENSG00000000457.13",955,465,489,539,498,515
"ENSG00000000460.16",703,423,375,645,556,574
"ENSG00000001036.13",2139,1252,1132,1777,1616,1727
"ENSG00000001084.10",1702,888,869,957,904,918
"ENSG00000001167.14",1210,495,531,457,518,519
"ENSG00000001460.17",175,95,97,131,113,121
"ENSG00000001461.16",1025,551,526,896,795,875
"ENSG00000001497.16",2437,1361,1182,1235,1092,1177
"ENSG00000001561.6",552,293,270,580,521,551
"ENSG00000001617.11",2375,1112,1162,1715,1572,1572
"ENSG00000001629.9",5579,2958,2793,2572,2466,2553
"ENSG00000001630.15",541,317,264,682,698,699
"ENSG00000001631.15",2413,1218,1336,1193,1154,1057
"ENSG00000002016.17",529,238,249,184,148,173
"ENSG00000002079.14",6,0,2,1,3,0
"ENSG00000002330.13",975,655,497,812,755,823
"ENSG00000002549.12",2736,1612,1396,1596,1478,1400
"ENSG00000002587.9",34,14,13,5,8,7
"ENSG00000002726.20",10,7,6,1,3,2
"ENSG00000002822.15",1760,948,949,981,1007,993
"ENSG00000002834.17",5113,2643,2516,5512,5239,5357
"ENSG00000002919.14",950,535,473,580,507,559
"ENSG00000003056.7",3344,1819,1713,1333,1314,1270
"ENSG00000003096.14",58,31,23,71,53,65
"ENSG00000003137.8",286,114,128,215,219,207
"ENSG00000003147.17",3055,1531,1610,1949,1785,1781
"ENSG00000003249.13",2905,1481,1497,2314,2228,2223
"ENSG00000003393.14",1017,532,495,710,694,653
"ENSG00000003400.14",16,8,7,6,2,0
"ENSG00000003402.19",1518,781,707,522,498,485
"ENSG00000003436.15",1030,552,519,14,13,14
"ENSG00000003509.15",793,388,394,446,400,395
