"gene_id"	"R_D9_1"	"NR_V_1"	"NR_V_2"	"NR_D9_2"	"D5_3"	"R_D9_3"	"R_D9_2"	"NR_D9_3"	"R_V_D9_1"	"R_V_D9_3"	"D5_1"	"NR_D9_1"	"D5_2"	"R_V_D9_2"	"NR_V_3"
"ENSG00000000003"	1277	823	915	559	528	1363	1629	722	1910	1738	701	719	504	2162	1086
"ENSG00000000005"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000000419"	2220	2658	2554	2018	3222	2156	2789	2207	3480	2619	4567	2025	2944	3581	3390
"ENSG00000000457"	262.32	344.3	341.12	247.06	410.62	238.92	314.95	330.31	163.1	292.63	508.27	249.57	362.32	267.35	350.06
"ENSG00000000460"	697.68	687.7	606.88	710.94	643.38	720.08	848.05	693.69	848.9	817.37	789.73	590.43	576.68	870.65	718.94
"ENSG00000000938"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000000971"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000001036"	2652.62	2842.65	2235.87	2282.8	2427.74	2858.87	2869.73	2495.85	2566.92	2850.9	3210.75	2338.86	2481.74	1931.45	2048.59
"ENSG00000001084"	971	1211	920	791	739	963	1064	887	445	833	931	828	622	613	943
"ENSG00000001167"	843	1348	1136	951	1372	898	921	1176	410	985	1792	1060	1162	730	992
"ENSG00000001460"	76	91	80	77	56.03	57	75	88	62	81	67.01	69	54	80	83
"ENSG00000001461"	489	621	535	312	292.97	510	500	525	308	568	397.99	496	294	314	434
"ENSG00000001497"	684	1108	758	929	588	738	771	1003	762	793	743	873	619	473	706
"ENSG00000001561"	368	1010	880	561	468	410	436	760	239	495	532	708	400	458	908
"ENSG00000001617"	1207	1390	1028	1283	960	1244	1194	1635	899	1258	1164	1559	948	728	924
"ENSG00000001626"	0	0	1	1	3	0	2	1	0	0	3	0	0	0	0
"ENSG00000001629"	1483	2568	2095	1928	1951	1559	1620	2504	402	1461	2578	2295	1793	1024	1918
"ENSG00000001630"	5028.81	4020.83	3079.98	4319.75	6719.67	5208.68	4969.76	5266.86	1416	2608.76	8342.74	4958.67	6893.76	1640.94	2870.83
"ENSG00000001631"	375.31	804.74	681.21	531.27	434.38	355	458.5	695.03	178.56	361.79	529.64	599.98	310.09	426.45	665.94
"ENSG00000002016"	129.56	150.51	127.79	104.9	101.29	80.35	122.24	126.9	55.41	109.65	119.2	117.56	74.78	107.14	130
"ENSG00000002079"	5	2	1	2	3	2	3	3	0	3	1	1	1	1	2
"ENSG00000002330"	257.81	472.52	399.7	412.24	883.32	311.31	304.34	528.8	593.03	310.24	1050.53	589.26	1043.6	220.33	385.51
"ENSG00000002549"	973	1320	1139	1037	870	1046	1134	1205	1120	1278	1166	1119	969	736	1082
"ENSG00000002586"	965	1215	1124	852	1073	1054	1094	1105	1809	1218	1462	1111	1200	885	1043
"ENSG00000002587"	4	2	0	3	6	3	5	8	5	4	3	2	1	2	4
"ENSG00000002726"	0	3	1	2	1	0	1	7	0	0	0	15	1	0	2
"ENSG00000002745"	1	0	3	2	3	2	1	5	0	1	3	1	2	1	0
"ENSG00000002746"	0	0	0	1	2	2	0	0	0	1	0	2	0	1	2
"ENSG00000002822"	399	503	314	265	273	535	442	327	644	480	319	286	287	303	268
"ENSG00000002834"	2394.53	3802.22	2780.24	2709.14	3069.49	2608.68	2457.28	3283.77	1356.2	2569.98	4102.45	3146.34	3150.63	1492.09	2541.89
"ENSG00000002919"	1076	1005	938	876	1212	1125	1187	1065	987	965	1562	971	1289	766	913
"ENSG00000002933"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ENSG00000003056"	3235.98	2881.42	2473.07	2848.48	2394.5	3302.57	3638.49	3176.83	2080.52	3107.06	2962.11	2824.09	2380.9	2194.12	2271.57
"ENSG00000003096"	237	345	269	330	279	318	301	368	171	350.73	331	345	285	247	257
"ENSG00000003137"	10	53	35	48	9	7	9	39	7	13	15	36	8	11	43
"ENSG00000003147"	926	980	850	780	1461	1037	1087	1035	997	992	1950	1022	1450	746.06	874
"ENSG00000003249"	1976	1912	1558	1606	2063	2198	2092	2368	1649	2005	2673	2220	2382	1262	1520
"ENSG00000003393"	824	757	554	552	576	803	857	748	366	714	790	624	523	584	574
"ENSG00000003400"	11	3	6	7	1	10	5	11	1	3	1	12	1	10	4
"ENSG00000003402"	345.51	407.2	310.71	393	504	353	383.4	487.79	320	395	707	429.72	471	336.5	390.26
"ENSG00000003436"	194	483	454	608	298	199	217	597	156	187	389	527	275	145	369
"ENSG00000003509"	243.88	308.31	243.51	242.66	383.01	237.21	328.92	307.74	280.77	220.96	491.21	301.9	387.34	253.83	312.48
"ENSG00000003756"	1355.76	1781.33	1433.53	1057.79	942.52	1076.95	1461.53	1384.85	934.49	1150.84	1229.06	1074.88	585.01	1278.45	1432.7
"ENSG00000003987"	71.45	88.83	100.75	60.26	67.37	70.9	75.65	77.59	41.68	127.97	78.54	48.24	36.78	139.03	103.5
"ENSG00000003989"	11053	15712	11999	14893	10175	12181	11766	21371	2261	8373	11826	18517	9803	4630	9852
"ENSG00000004059"	2050	2550	2551	2079.43	2633	2336.85	2313	2414	4336	2896	3515.66	2404	2807.7	2484.74	2843.78
"ENSG00000004139"	115.62	110.73	96.6	115.15	127.8	141.12	152.55	145.43	48.55	109.16	177.2	73.97	141.43	90.49	94.15
"ENSG00000004142"	2165.71	2422.41	1943.86	1824.55	1686.51	2273.44	2239.97	2027.49	2915.44	2859.92	2238.45	1917.95	1877.38	1921.77	2002.62
"ENSG00000004399"	3007	3194	2431	2403	1771	3219	2856	3132	1792	3420	2135	2900	1708	2046	1998
"ENSG00000004455"	1708.56	1983.91	1941.28	1951.72	2793.58	1705.04	2009.73	1950.27	3055.55	2089.54	4029.65	1821.89	2982.03	2063.7	2335.16
"ENSG00000004468"	5	2	2	2	2	2	3	1	4	3	6	6	3	2	0
"ENSG00000004478"	8184	13279.86	9864	9110	7095	9414	9229	10100	12284	12229	9215	9592	7690	7701	10278
"ENSG00000004487"	2204	2399	1775	1772	1614	2518	2536	1967	1902	2547	1953	1840	1503	1664	1738
"ENSG00000004534"	1086	1019	782	729	892	743	1188.33	882	724	670	1346.34	711	760	936	870
"ENSG00000004660"	82	70	64	69	74	73	82	109	46	47	121	94	84	41	69
"ENSG00000004700"	584.78	1000.1	751.05	576.64	387.28	634.69	706.1	572.19	350.42	863.93	523.75	584.99	344.17	644.81	713.38
"ENSG00000004766"	396	684	644	586	476	400	447	667	188	424	692	624	450	322	655
"ENSG00000004776"	6	0	3	3	0	1	2	3.97	4	2.45	5	3.99	2	3	2.43
"ENSG00000004777"	125	223	173	113	110	125	151	124	128	168	133	163	92	196	200
"ENSG00000004779"	2658	2814	3150	3116	4965	3010	3685	3054	7417	3312	7271	3148	5227	5152	4210
"ENSG00000004799"	23	125	107	92	103	12	11	113	5	10	169	110	104	6	95
"ENSG00000004809"	0	0	1	0	2	0	0	0	1	0	0	1	0	0	0
"ENSG00000004838"	5	29	25	8	10	16	7	12	26	20	2	13	9	18	20
"ENSG00000004846"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000004848"	29	21	17	11	29	20	20	21	28	24	25	30	16	12	18
"ENSG00000004864"	596	904	655	855	691	681	639	917	296	445	941	833	720	330	710
"ENSG00000004866"	261.85	322.43	258.96	231.75	345.87	317.64	321.43	292.96	229.15	314.23	478.87	298.95	332.53	211.53	262.88
"ENSG00000004897"	2664	3327	2815	2234	3601	2721	3011.97	2648.99	1398	2995	4558	2432	3662	2196	2791.99
"ENSG00000004939"	0	1	1.14	1	0	0	1	1.2	0	0	0	0	1	1	0
"ENSG00000004948"	87	435	324	280	103	107	104	386	49	137	142	291	119	88	365
"ENSG00000004961"	589	601	573	605	962	632	687	651	654	708	1261	610	972	545	595
"ENSG00000004975"	1154	887	736	572	659	1203	1263	755	723	1077	827	806	614	700	670
"ENSG00000005001"	111	166	158	254	540	87	122	361	58	74	660	362	523	40	119
"ENSG00000005007"	2302	2689	1947	1842	1673	2351	2166	2255	1362	2446	2324	2011	1589	1501	1762
"ENSG00000005020"	1208	1427	1307	828	659	1294	1490	969	715	1470	820	894	566	1190	1309
"ENSG00000005022"	12611.9	16691.88	16638.84	15399.82	19338.85	13990.9	15098.92	17889.9	21285.91	16107.93	26293.91	17904.84	21643.88	15371.86	18771.81
"ENSG00000005059"	275	433	478	398	416	309	386	430	679	451	579	401	445	569	557
"ENSG00000005073"	12.34	7.85	5	10	10	13	3.06	9	7	11.73	15	5	9	6.67	4
"ENSG00000005075"	1055.34	1664.75	1732.68	1374.92	2039.57	1127.6	1209.56	1509.79	2550.82	1412.28	2975.48	1526.89	2334.6	1487.83	2033.67
"ENSG00000005100"	973	1025	752	854	714	905	1010	950	312	846	857	909	663	563	699
"ENSG00000005102"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000005108"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000005156"	451	541	430	480	590	420	464	649	258	441	701	549	503	315	412
"ENSG00000005175"	919	1038	761	794	1184	960	1081	1034	697	980	1570	778	1049	648	750
"ENSG00000005187"	23.84	25.91	26.84	24.76	25.83	35.89	51.43	43.45	17.3	22.57	47	55.04	39.79	12.82	17.57
"ENSG00000005189"	127	320.75	275	265.87	169	145	168	312	245	267	256	333.79	173	249	316.97
"ENSG00000005194"	688	818	747	708	794	811	749	776	904	838	957.99	745	804	636	760
"ENSG00000005206"	364	514	430	303	270	312	414	427	443	418	354	391	194	364	403
"ENSG00000005238"	121	245	187	107	210	112	130	186	92	130	270	182	171	66	164
"ENSG00000005243"	31	46	40	28	34	34	49	38	87	40	71	34	44	46	50
"ENSG00000005249"	460	354	299	235	314	496	527	231	190	442	426	236	314	302	284
"ENSG00000005302"	287	360	332	228	191	265	313	273	259	312	215	281	164	244	335
"ENSG00000005339"	2933	2320	1739	2169	2683	2879	2614	2526	765	2601	3544	2280	2713	1595	1680
"ENSG00000005379"	0	2	0	0	1	0	0	0	0	1	0	0	1	0	0
"ENSG00000005381"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ENSG00000005421"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000005436"	231	211	210	303	237	193	235	269	246	233	339	217	259	232	237
"ENSG00000005448"	480	847	831	385	354	606	599	445	1549	977	421	460	400	705	813
"ENSG00000005469"	362	456	387	472	362	305	428	591	317	391	505	568	246	412	442
"ENSG00000005471"	68.02	3	1	9	17	54.05	59	7	27.02	30	6	6	11	28.02	5
"ENSG00000005483"	1159	1599	1286	1266.91	2149	1094	1194	1762.75	196	919	2941	1562	1911	663	1263
"ENSG00000005486"	1078	1615	1312	1531	2161	1116	1098	1850	1316	1200	2662	1857	2359	677	1060
"ENSG00000005513"	6	10	4	7	23	4	7	15	5	4	32	13	22	4	4
