"","ensembl_gene_id","ensembl_gene_id_version.x","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_gene_id_version.y","external_gene_name","gene_biotype"
"1","ENSG00000000419","ENSG00000000419.12",1056.98464815187,0.221907696044837,0.0927954653167554,2.39136357889213,0.016785920854747,0.0366156442398582,"ENSG00000000419.14","DPM1","protein_coding"
"2","ENSG00000000938","ENSG00000000938.12",12.1019313207577,1.54035916604064,0.604822382907699,2.54679590169155,0.0108716997428286,0.0247085107657499,"ENSG00000000938.13","FGR","protein_coding"
"3","ENSG00000000971","ENSG00000000971.15",110.641589866157,11.0926486309992,1.18385980854349,9.36990051604718,7.26009254720899e-21,7.82892454059856e-20,"ENSG00000000971.16","CFH","protein_coding"
"4","ENSG00000001036","ENSG00000001036.13",405.457362045025,-4.73285854066132,0.524016081674291,-9.03189559667576,1.68723354927197e-19,1.69541501113029e-18,"ENSG00000001036.14","FUCA2","protein_coding"
"5","ENSG00000001461","ENSG00000001461.16",1002.60488445422,-1.02659832465316,0.0805153056598547,-12.7503499643923,3.1034889908241e-37,6.83763682772739e-36,"ENSG00000001461.17","NIPAL3","protein_coding"
"6","ENSG00000001497","ENSG00000001497.16",1115.99574910219,-0.74704577149509,0.0844160305847895,-8.8495723658167,8.78552808779539e-19,8.46045199370949e-18,"ENSG00000001497.18","LAS1L","protein_coding"
"7","ENSG00000001561","ENSG00000001561.6",607.366250053538,0.480416996011483,0.0711477298286479,6.75238685996754,1.45432465154587e-11,8.74505756798705e-11,"ENSG00000001561.7","ENPP4","protein_coding"
"8","ENSG00000001617","ENSG00000001617.11",396.885625503991,2.06804255445884,0.268120531322239,7.71310777380705,1.22790310364583e-14,9.08152174231794e-14,"ENSG00000001617.12","SEMA3F","protein_coding"
"9","ENSG00000001626","ENSG00000001626.14",75.8102357980559,6.47220837912813,0.513646339589631,12.6005149463325,2.09770476355021e-36,4.46927088614393e-35,"ENSG00000001626.16","CFTR","protein_coding"
"10","ENSG00000001631","ENSG00000001631.15",675.186204079851,-0.892735411785413,0.119150444780872,-7.49250591071844,6.75708853429541e-14,4.77101275295188e-13,"ENSG00000001631.16","KRIT1","protein_coding"
"11","ENSG00000002330","ENSG00000002330.13",307.004178524671,0.57665560315796,0.160647936652736,3.58956121798493,0.000331235038931192,0.000969087488700394,"ENSG00000002330.14","BAD","protein_coding"
"12","ENSG00000002549","ENSG00000002549.12",1187.93627893774,0.339785858661155,0.0896475274795668,3.79024238832021,0.00015050034896644,0.000459662217101894,"ENSG00000002549.13","LAP3","protein_coding"
"13","ENSG00000002726","ENSG00000002726.20",4.16044422448287,-5.31203056836542,1.29904763916181,-4.08917302816771,4.3291384125822e-05,0.000141214514955124,"ENSG00000002726.21","AOC1","protein_coding"
"14","ENSG00000002834","ENSG00000002834.17",3821.76769949818,-1.14808188027631,0.0530527383839681,-21.6403887009015,7.48694821643317e-104,9.34422184785062e-102,"ENSG00000002834.18","LASP1","protein_coding"
"15","ENSG00000002919","ENSG00000002919.14",451.266086547654,-1.20996596489159,0.108904011715296,-11.1103892853347,1.1167161673944e-28,1.74341061357395e-27,"ENSG00000002919.15","SNX11","protein_coding"
"16","ENSG00000003056","ENSG00000003056.7",2046.83485639315,0.884684568308777,0.0512653940185454,17.2569544279468,9.92072892631454e-67,5.31509101452256e-65,"ENSG00000003056.8","M6PR","protein_coding"
"17","ENSG00000003147","ENSG00000003147.17",474.582565327396,1.5366159506425,0.226234781127534,6.79212958760871,1.10490229220231e-11,6.71191475401439e-11,"ENSG00000003147.19","ICA1","protein_coding"
"18","ENSG00000003400","ENSG00000003400.14",135.874195718423,0.359372536321947,0.140173204807628,2.5637748442375,0.0103540687716039,0.0236618263251197,"ENSG00000003400.15","CASP10","protein_coding"
"19","ENSG00000003402","ENSG00000003402.19",393.318075965049,0.413232358595987,0.0875266375228834,4.72121825184875,2.34436211218678e-06,8.78026567029748e-06,"ENSG00000003402.20","CFLAR","protein_coding"
"20","ENSG00000003436","ENSG00000003436.15",102.791411198368,5.77067920602533,0.602033060116519,9.5853194588823,9.21719575880603e-22,1.03934764906537e-20,"ENSG00000003436.16","TFPI","protein_coding"
"21","ENSG00000003509","ENSG00000003509.15",274.996640705475,-0.442331155278619,0.130012459332505,-3.4022212759422,0.000668404957795637,0.00186891335322543,"ENSG00000003509.16","NDUFAF7","protein_coding"
"22","ENSG00000003756","ENSG00000003756.16",623.76713175725,-0.490487728555392,0.0888821516249932,-5.51840520946017,3.42089910058743e-08,1.53730502543992e-07,"ENSG00000003756.17","RBM5","protein_coding"
"23","ENSG00000004139","ENSG00000004139.13",331.57978292425,1.30923995462083,0.0958837271100165,13.654454140259,1.89907018088393e-42,5.05636067797532e-41,"ENSG00000004139.14","SARM1","protein_coding"
"24","ENSG00000004399","ENSG00000004399.12",785.692827753129,1.77242895463015,0.137281893073645,12.9108720381597,3.90849472838009e-38,8.91526429943896e-37,"ENSG00000004399.13","PLXND1","protein_coding"
"25","ENSG00000004455","ENSG00000004455.16",3637.29526258395,0.224236552843043,0.0509798616775775,4.39853199801185,1.0898556001692e-05,3.81936313230961e-05,"ENSG00000004455.17","AK2","protein_coding"
"26","ENSG00000004468","ENSG00000004468.12",318.497991332278,9.75247612748293,0.731057710362606,13.3402274392889,1.35046888902874e-40,3.39409606595026e-39,"ENSG00000004468.13","CD38","protein_coding"
"27","ENSG00000004478","ENSG00000004478.7",3962.70325155583,0.214067241925915,0.0535389618527305,3.99834502795832,6.37869234755041e-05,0.000203921344937116,"ENSG00000004478.8","FKBP4","protein_coding"
"28","ENSG00000004487","ENSG00000004487.15",2228.49298479007,0.139209588026218,0.0486475176023799,2.8615969506203,0.00421512563249334,0.0104079866955203,"ENSG00000004487.17","KDM1A","protein_coding"
"29","ENSG00000004660","ENSG00000004660.14",122.797981147809,1.11589584223931,0.182716145195553,6.10726458269478,1.01353147103094e-09,5.24581345256026e-09,"ENSG00000004660.15","CAMKK1","protein_coding"
"30","ENSG00000004700","ENSG00000004700.15",687.433642586887,1.18982220938089,0.0744122815381368,15.9895945237359,1.51010691870941e-57,5.95529776954595e-56,"ENSG00000004700.16","RECQL","protein_coding"
"31","ENSG00000004766","ENSG00000004766.15",544.360558807036,0.406649556540784,0.0753261767097601,5.39851581884541,6.71944443186724e-08,2.93263096344915e-07,"ENSG00000004766.17","VPS50","protein_coding"
"32","ENSG00000004777","ENSG00000004777.18",71.0472156217154,0.955488945389778,0.290264500837626,3.29178712047974,0.00099552937591501,0.00271784716273292,"ENSG00000004777.18","ARHGAP33","protein_coding"
"33","ENSG00000004779","ENSG00000004779.9",901.133486348627,0.430904360089866,0.0686560893508556,6.27627300308062,3.46785062514221e-10,1.87069761374936e-09,"ENSG00000004779.10","NDUFAB1","protein_coding"
"34","ENSG00000004848","ENSG00000004848.7",4.11936513237353,-3.07450223302632,1.3329807403069,-2.30648661309125,0.0210834572949849,0.0450067272052128,"ENSG00000004848.8","ARX","protein_coding"
"35","ENSG00000004866","ENSG00000004866.20",502.48554729341,0.777465742111476,0.0739522243817759,10.5130812306312,7.51958236342342e-26,1.03493199370275e-24,"ENSG00000004866.22","ST7","protein_coding"
"36","ENSG00000004897","ENSG00000004897.11",2064.03979507139,-0.29104975226799,0.0472937313357253,-6.15408731871688,7.55110743687648e-10,3.94547159748879e-09,"ENSG00000004897.12","CDC27","protein_coding"
"37","ENSG00000004961","ENSG00000004961.14",458.371685129963,0.575658606956761,0.0933839904732272,6.16442501588963,7.07397079575346e-10,3.71028754774405e-09,"ENSG00000004961.15","HCCS","protein_coding"
"38","ENSG00000004975","ENSG00000004975.11",954.791342772665,0.486726103596277,0.0753979650863183,6.45542758400782,1.07913774255226e-10,6.04548320655521e-10,"ENSG00000004975.12","DVL2","protein_coding"
"39","ENSG00000005007","ENSG00000005007.12",1589.25798158784,-0.389366730359459,0.0714552674750401,-5.44909765393388,5.06260120880696e-08,2.2406830173817e-07,"ENSG00000005007.13","UPF1","protein_coding"
"40","ENSG00000005020","ENSG00000005020.12",915.659765128531,0.918131704839868,0.0741756192051896,12.3778097800582,3.44619365893942e-35,7.00269101871076e-34,"ENSG00000005020.13","SKAP2","protein_coding"
"41","ENSG00000005073","ENSG00000005073.5",32.7307728251487,-1.83063422428518,0.280958864569688,-6.5156663666368,7.23676645768537e-11,4.10438450837895e-10,"ENSG00000005073.6","HOXA11","protein_coding"
"42","ENSG00000005075","ENSG00000005075.15",524.886037468685,0.709162189929562,0.111432293621141,6.36406347643391,1.96484875758901e-10,1.08115901325652e-09,"ENSG00000005075.15","POLR2J","protein_coding"
"43","ENSG00000005108","ENSG00000005108.15",28.6543494291441,6.24374290001602,0.759424849644795,8.22167315559453,2.0068349020171e-16,1.65971895548598e-15,"ENSG00000005108.16","THSD7A","protein_coding"
"44","ENSG00000005156","ENSG00000005156.11",744.587942609807,-1.08161019670481,0.0785815753946954,-13.7641704340001,4.18662299454186e-43,1.13675353149699e-41,"ENSG00000005156.12","LIG3","protein_coding"
"45","ENSG00000005175","ENSG00000005175.9",1177.56955491625,0.59404503569908,0.0802915003534847,7.39860424931388,1.37623328206216e-13,9.52736850733611e-13,"ENSG00000005175.10","RPAP3","protein_coding"
"46","ENSG00000005187","ENSG00000005187.11",104.588296863966,1.12643668443992,0.233050958009687,4.83343511676577,1.34197030259269e-06,5.15795619715678e-06,"ENSG00000005187.12","ACSM3","protein_coding"
"47","ENSG00000005189","ENSG00000005189.19",170.440119366454,1.45551119933453,0.156258486142538,9.31476577858828,1.2222190563563e-20,1.30580076808961e-19,"ENSG00000005189.20","REXO5","protein_coding"
"48","ENSG00000005194","ENSG00000005194.14",617.458932185728,-0.512910038202847,0.0853303850693245,-6.01087218563641,1.84527850153244e-09,9.35673766497265e-09,"ENSG00000005194.15","CIAPIN1","protein_coding"
"49","ENSG00000005249","ENSG00000005249.12",238.64892579325,2.16139129841911,0.186550507851026,11.5860917416807,4.84750736104218e-31,8.31877708536347e-30,"ENSG00000005249.13","PRKAR2B","protein_coding"
"50","ENSG00000005302","ENSG00000005302.17",349.836731599416,0.553803916353137,0.0870343095678055,6.36305290526475,1.97782526394036e-10,1.08775437525573e-09,"ENSG00000005302.19","MSL3","protein_coding"
"51","ENSG00000005339","ENSG00000005339.14",667.734884065634,-0.733044632676628,0.135455899707221,-5.41168479380416,6.24345184438756e-08,2.73685218945953e-07,"ENSG00000005339.15","CREBBP","protein_coding"
"52","ENSG00000005379","ENSG00000005379.15",56.031750730269,-0.545764289805843,0.212925578667983,-2.56316922194143,0.0103721481291108,0.0236932826335325,"ENSG00000005379.17","TSPOAP1","protein_coding"
"53","ENSG00000005436","ENSG00000005436.13",297.17906117446,-0.798555059734483,0.0965299387398506,-8.27261542024386,1.31051892312294e-16,1.10041508659474e-15,"ENSG00000005436.14","GCFC2","protein_coding"
"54","ENSG00000005486","ENSG00000005486.16",640.671213490898,-0.338862406682394,0.119842331929564,-2.82756853297513,0.00469029748592233,0.0114744617389938,"ENSG00000005486.17","RHBDD2","protein_coding"
"55","ENSG00000005700","ENSG00000005700.14",1214.35859053849,-0.285839880334212,0.0759805874611119,-3.76201198076429,0.00016855197166725,0.000511594943988231,"ENSG00000005700.15","IBTK","protein_coding"
"56","ENSG00000005801","ENSG00000005801.16",359.884837554709,0.333482641029983,0.0859675216430204,3.87917011746328,0.000104813437173821,0.000326386725398378,"ENSG00000005801.18","ZNF195","protein_coding"
"57","ENSG00000005810","ENSG00000005810.17",1508.53316980474,0.443648453626722,0.133061973834212,3.33414904982157,0.00085560795950122,0.00235990512787592,"ENSG00000005810.19","MYCBP2","protein_coding"
"58","ENSG00000005812","ENSG00000005812.10",585.871171617142,-0.28390914699915,0.0802737442276196,-3.5367622344127,0.000405064150958576,0.00117105016319506,"ENSG00000005812.11","FBXL3","protein_coding"
"59","ENSG00000005844","ENSG00000005844.17",1073.10412607951,-0.635654077265927,0.0908036492450001,-7.00031422251378,2.55389072708752e-12,1.62275856844676e-11,"ENSG00000005844.19","ITGAL","protein_coding"
"60","ENSG00000005882","ENSG00000005882.11",356.090296008878,-1.78760322929005,0.114521997146257,-15.6092565082243,6.29664722612909e-55,2.36835878371835e-53,"ENSG00000005882.12","PDK2","protein_coding"
"61","ENSG00000005884","ENSG00000005884.17",808.623630380381,-0.307419369985278,0.107817727606769,-2.85128778735248,0.00435425403460647,0.0107165875769373,"ENSG00000005884.18","ITGA3","protein_coding"
"62","ENSG00000005889","ENSG00000005889.15",483.843503968048,-0.308584147233324,0.097131023537069,-3.17698852535572,0.00148812923719177,0.00396461453294779,"ENSG00000005889.16","ZFX","protein_coding"
"63","ENSG00000005893","ENSG00000005893.15",3076.42436321421,0.910819739823694,0.0628623940422465,14.4891036000248,1.41983631991106e-47,4.34980817338443e-46,"ENSG00000005893.16","LAMP2","protein_coding"
"64","ENSG00000005981","ENSG00000005981.12",59.4406062683373,9.222816832162,1.18806410231908,7.76289496009452,8.30123626872999e-15,6.20854463326261e-14,"ENSG00000005981.13","ASB4","protein_coding"
"65","ENSG00000006007","ENSG00000006007.11",1452.84692426325,0.892849182330997,0.0611130598705956,14.6097934585761,2.43254295349208e-48,7.58994865289872e-47,"ENSG00000006007.12","GDE1","protein_coding"
